ds,y
2019-06-03,5314.68
2019-06-04,5075.28
2019-06-05,5171.04
2019-06-06,5458.32
2019-06-07,5122.504044
2019-06-08,5730.587226
2019-06-09,5054.0
2019-06-10,5701.8031
2019-06-11,5362.56
2019-06-12,4928.98
2019-06-13,4921.0
2019-06-14,5306.7
2019-06-15,5560.73
2019-06-16,4657.66
2019-06-17,5426.4
2019-06-18,5135.13
2019-06-19,4959.57
2019-06-20,4774.398489
2019-06-21,5104.59985
2019-06-22,4883.76
2019-06-23,5200.3
2019-06-24,4522.0
2019-06-25,5601.96
2019-06-26,5253.131723
2019-06-27,5384.32944
2019-06-28,5560.73
2019-06-29,4432.89
2019-06-30,5218.92
2019-07-01,5098.49515
2019-07-02,5098.49515
2019-07-03,5511.52
2019-07-04,5609.94
2019-07-05,5030.79283
2019-07-06,5845.26222
2019-07-07,6846.84
2019-07-08,5770.072
2019-07-09,5290.208
2019-07-10,5620.846
2019-07-11,4783.254028
2019-07-12,5701.8031
2019-07-13,4928.98
2019-07-14,4256.0
2019-07-15,4979.52
2019-07-16,5064.64
2019-07-17,5135.13
2019-07-18,4428.524275
2019-07-19,4809.28
2019-07-20,5554.08
2019-07-21,4553.92
2019-07-22,5266.8
2019-07-23,4793.32
2019-07-24,4928.98
2019-07-25,5539.45
2019-07-26,6016.92
2019-07-27,5554.08
2019-07-28,5462.31
2019-07-29,5411.362887
2019-07-30,5855.6974
2019-07-31,5426.4
2019-08-01,6056.82
2019-08-02,4793.32
2019-08-03,5266.8
2019-08-04,5806.78
2019-08-05,5266.8
2019-08-06,5660.48
2019-08-07,5314.68
2019-08-08,4652.34
2019-08-09,4740.12
2019-08-10,5019.42
2019-08-11,5019.42
2019-08-12,5104.54
2019-08-13,5047.35
2019-08-14,4696.23
2019-08-15,5144.254332
2019-08-16,4970.21
2019-08-17,4921.0
2019-08-18,5075.28
2019-08-19,5027.4
2019-08-20,4748.1
2019-08-21,4696.23
2019-08-22,5410.44
2019-08-23,4883.76
2019-08-24,5745.6
2019-08-25,5659.15
2019-08-26,5452.221152
2019-08-27,5855.99
2019-08-28,4979.52
2019-08-29,5697.72
2019-08-30,4657.66
2019-08-31,5362.56
2019-09-01,6011.6
2019-09-02,5659.15
2019-09-03,4883.76
2019-09-04,5498.426416
2019-09-05,5554.08
2019-09-06,5027.4
2019-09-07,5812.1
2019-09-08,6202.28476
2019-09-09,5256.16
2019-09-10,4921.0
2019-09-11,5708.36
2019-09-12,5205.62
2019-09-13,5104.54
2019-09-14,5550.09
2019-09-15,5306.7
2019-09-16,5861.31
2019-09-17,5027.4
2019-09-18,5708.36
2019-09-19,5265.47
2019-09-20,6011.6
2019-09-21,5708.36
2019-09-22,5314.68
2019-09-23,5155.08
2019-09-24,5054.0
2019-09-25,5302.181724
2019-09-26,5505.94198
2019-09-27,5511.52
2019-09-28,2383.36
2019-09-29,6003.24228
2019-09-30,4840.500952
2019-10-01,5068.63
2019-10-02,5407.78
2019-10-03,5659.15
2019-10-04,5306.7
2019-10-05,5815.1457
2019-10-06,5287.59588
2019-10-07,5965.05
2019-10-08,5343.6474
2019-10-09,6224.4
2019-10-10,5882.76024
2019-10-11,5810.8897
2019-10-12,4957.04566
2019-10-13,4861.062752
2019-10-14,5324.8944
2019-10-15,5133.51006
2019-10-16,2409.681498
2019-10-17,2346.268827
2019-10-18,2282.856156
2019-10-19,2351.44
2019-10-20,2532.32
2019-10-21,5687.799264
2019-10-22,5798.8
2019-10-23,2351.44
2019-10-24,2705.22
2019-10-25,2610.451116
2019-10-26,2848.86
2019-10-27,2351.44
2019-10-28,2687.590983
2019-10-29,5136.521712
2019-10-30,5342.61
2019-10-31,6384.0
2019-11-01,6118.0
2019-11-02,2554.93
2019-11-03,2511.04
2019-11-04,2705.22
2019-11-05,2394.0
2019-11-06,3128.16
2019-11-07,3165.4
2019-11-08,2553.6
2019-11-09,6224.4
2019-11-10,5861.31
2019-11-11,2468.48
2019-11-12,2213.12
2019-11-13,2489.76
2019-11-14,2511.04
2019-11-15,2872.8
2019-11-16,2513.7
2019-11-17,2207.401
2019-11-18,2213.12
2019-11-19,2319.52
2019-11-20,2468.48
2019-11-21,2853.124512
2019-11-22,2643.506936
2019-11-23,2552.27
2019-11-24,2537.64
2019-11-25,2729.16
